sample	ID	strain	mouse	neurons	regions	date	fos	grin	gria
5	K	BL	1	4	CA1 lower	6/28/2014	-1	-1	35.46395111
5	K	BL	1	4	CA1 lower	6/28/2014	-1	36.99978256	36.95236206
5	K	BL	1	4	CA1 lower	6/28/2014	-1	-1	36.00722885
13	U	BL	2	5	CA1 lower	6/30/2014	-1	-1	35.71803665
13	U	BL	2	5	CA1 lower	6/30/2014	-1	-1	36.23554993
13	U	BL	2	5	CA1 lower	6/30/2014	-1	-1	35.24586487
15	W	BL	3	5	CA1 lower	7/1/2014	-1	-1	35.44037628
15	W	BL	3	5	CA1 lower	7/1/2014	-1	36.92905045	35.67445374
15	W	BL	3	5	CA1 lower	7/1/2014	-1	36.64133453	34.94690704
4	J	BL	1	3	CA1 upper	6/28/2014	36.89402771	-1	33.8341713
4	J	BL	1	3	CA1 upper	6/28/2014	NA	-1	35.40817642
4	J	BL	1	3	CA1 upper	6/28/2014	-1	-1	34.65807343
10	R	BL	2	3	CA1 upper	6/30/2014	36.50366211	35.43867111	33.61367798
10	R	BL	2	3	CA1 upper	6/30/2014	NA	35.15970993	32.97709656
10	R	BL	2	3	CA1 upper	6/30/2014	36.21426773	34.97041702	32.83230209
14	V	BL	3	3	CA1 upper	7/1/2014	-1	-1	-1
14	V	BL	3	3	CA1 upper	7/1/2014	-1	-1	35.40513229
14	V	BL	3	3	CA1 upper	7/1/2014	-1	-1	-1
1	AA	BL	3	5	DG	7/1/2014	34.15421295	35.39338684	33.74970627
1	AA	BL	3	5	DG	7/1/2014	NA	-1	33.5437355
1	AA	BL	3	5	DG	7/1/2014	36.05589676	36.09261322	32.98358536
3	AF	BL	4	5	DG	7/1/2014	34.79635239	36.12417984	33.67839813
3	AF	BL	4	5	DG	7/1/2014	35.07833862	35.715271	NA
3	AF	BL	4	5	DG	7/1/2014	35.01947403	36.69556427	33.712883
6	L	BL	1	5	DG	6/28/2014	35.36398697	36.62855148	33.87864304
6	L	BL	1	5	DG	6/28/2014	35.44045258	35.6445961	34.41375732
6	L	BL	1	5	DG	6/28/2014	36.38322449	35.10932159	33.92479324
11	S	BL	2	5	DG	6/30/2014	34.89427567	-1	34.12186813
11	S	BL	2	5	DG	6/30/2014	34.82302475	36.65590286	34.5472908
11	S	BL	2	5	DG	6/30/2014	33.38366699	35.82292175	34.09331894
