"","count","gene","sample","ID","strain","mouse","neurons","regions","date"
"1",6,"fos","1","AA","BL","3","5","DG","7/1/2014"
"3",2,"fos","1","AA","BL","3","5","DG","7/1/2014"
"4",1,"fos","2","AC","BL","3","4","Oriens sm","7/1/2014"
"5",2,"fos","2","AC","BL","3","4","Oriens sm","7/1/2014"
"6",2,"fos","2","AC","BL","3","4","Oriens sm","7/1/2014"
"7",4,"fos","3","AF","BL","4","5","DG","7/1/2014"
"8",3,"fos","3","AF","BL","4","5","DG","7/1/2014"
"9",4,"fos","3","AF","BL","4","5","DG","7/1/2014"
"10",1,"fos","4","J","BL","1","3","CA1 upper","6/28/2014"
"12",0,"fos","4","J","BL","1","3","CA1 upper","6/28/2014"
"13",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"14",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"15",0,"fos","5","K","BL","1","4","CA1 lower","6/28/2014"
"16",3,"fos","6","L","BL","1","5","DG","6/28/2014"
"17",3,"fos","6","L","BL","1","5","DG","6/28/2014"
"18",1,"fos","6","L","BL","1","5","DG","6/28/2014"
"19",0,"fos","7","M","BL","1","4","Oriens sm","6/28/2014"
"20",0,"fos","7","M","BL","1","4","Oriens sm","6/28/2014"
"21",0,"fos","7","M","BL","1","4","Oriens sm","6/28/2014"
"22",0,"fos","8","N","BL","1","3","Oriens big","6/28/2014"
"23",0,"fos","8","N","BL","1","3","Oriens big","6/28/2014"
"24",0,"fos","8","N","BL","1","3","Oriens big","6/28/2014"
"25",2,"fos","9","Q","BL","2","2","Oriens big","6/30/2014"
"26",5,"fos","9","Q","BL","2","2","Oriens big","6/30/2014"
"27",4,"fos","9","Q","BL","2","2","Oriens big","6/30/2014"
"28",1,"fos","10","R","BL","2","3","CA1 upper","6/30/2014"
"30",2,"fos","10","R","BL","2","3","CA1 upper","6/30/2014"
"31",4,"fos","11","S","BL","2","5","DG","6/30/2014"
"32",4,"fos","11","S","BL","2","5","DG","6/30/2014"
"33",10,"fos","11","S","BL","2","5","DG","6/30/2014"
"34",0,"fos","12","T","BL","2","4","Oriens sm","6/30/2014"
"35",0,"fos","12","T","BL","2","4","Oriens sm","6/30/2014"
"36",0,"fos","12","T","BL","2","4","Oriens sm","6/30/2014"
"37",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"38",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"39",0,"fos","13","U","BL","2","5","CA1 lower","6/30/2014"
"40",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"41",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"42",0,"fos","14","V","BL","3","3","CA1 upper","7/1/2014"
"43",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"44",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"45",0,"fos","15","W","BL","3","5","CA1 lower","7/1/2014"
"46",5,"fos","16","Z","BL","3","3","Oriens big","7/1/2014"
"48",2,"fos","16","Z","BL","3","3","Oriens big","7/1/2014"
"49",3,"grin","1","AA","BL","3","5","DG","7/1/2014"
"50",0,"grin","1","AA","BL","3","5","DG","7/1/2014"
"51",2,"grin","1","AA","BL","3","5","DG","7/1/2014"
"52",2,"grin","2","AC","BL","3","4","Oriens sm","7/1/2014"
"53",2,"grin","2","AC","BL","3","4","Oriens sm","7/1/2014"
"54",0,"grin","2","AC","BL","3","4","Oriens sm","7/1/2014"
"55",2,"grin","3","AF","BL","4","5","DG","7/1/2014"
"56",2,"grin","3","AF","BL","4","5","DG","7/1/2014"
"57",1,"grin","3","AF","BL","4","5","DG","7/1/2014"
"58",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"59",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"60",0,"grin","4","J","BL","1","3","CA1 upper","6/28/2014"
"61",0,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"62",1,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"63",0,"grin","5","K","BL","1","4","CA1 lower","6/28/2014"
"64",1,"grin","6","L","BL","1","5","DG","6/28/2014"
"65",2,"grin","6","L","BL","1","5","DG","6/28/2014"
"66",3,"grin","6","L","BL","1","5","DG","6/28/2014"
"70",0,"grin","8","N","BL","1","3","Oriens big","6/28/2014"
"71",0,"grin","8","N","BL","1","3","Oriens big","6/28/2014"
"72",0,"grin","8","N","BL","1","3","Oriens big","6/28/2014"
"73",1,"grin","9","Q","BL","2","2","Oriens big","6/30/2014"
"74",4,"grin","9","Q","BL","2","2","Oriens big","6/30/2014"
"75",0,"grin","9","Q","BL","2","2","Oriens big","6/30/2014"
"76",3,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"77",3,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"78",4,"grin","10","R","BL","2","3","CA1 upper","6/30/2014"
"79",0,"grin","11","S","BL","2","5","DG","6/30/2014"
"80",1,"grin","11","S","BL","2","5","DG","6/30/2014"
"81",2,"grin","11","S","BL","2","5","DG","6/30/2014"
"85",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"86",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"87",0,"grin","13","U","BL","2","5","CA1 lower","6/30/2014"
"88",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"89",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"90",0,"grin","14","V","BL","3","3","CA1 upper","7/1/2014"
"91",0,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"92",1,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"93",1,"grin","15","W","BL","3","5","CA1 lower","7/1/2014"
"94",2,"grin","16","Z","BL","3","3","Oriens big","7/1/2014"
"95",3,"grin","16","Z","BL","3","3","Oriens big","7/1/2014"
"96",4,"grin","16","Z","BL","3","3","Oriens big","7/1/2014"
"97",9,"gria","1","AA","BL","3","5","DG","7/1/2014"
"98",10,"gria","1","AA","BL","3","5","DG","7/1/2014"
"99",15,"gria","1","AA","BL","3","5","DG","7/1/2014"
"100",4,"gria","2","AC","BL","3","4","Oriens sm","7/1/2014"
"101",5,"gria","2","AC","BL","3","4","Oriens sm","7/1/2014"
"102",7,"gria","2","AC","BL","3","4","Oriens sm","7/1/2014"
"103",10,"gria","3","AF","BL","4","5","DG","7/1/2014"
"105",9,"gria","3","AF","BL","4","5","DG","7/1/2014"
"106",9,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"107",3,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"108",5,"gria","4","J","BL","1","3","CA1 upper","6/28/2014"
"109",3,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"110",1,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"111",2,"gria","5","K","BL","1","4","CA1 lower","6/28/2014"
"112",8,"gria","6","L","BL","1","5","DG","6/28/2014"
"113",6,"gria","6","L","BL","1","5","DG","6/28/2014"
"114",8,"gria","6","L","BL","1","5","DG","6/28/2014"
"115",0,"gria","7","M","BL","1","4","Oriens sm","6/28/2014"
"116",2,"gria","7","M","BL","1","4","Oriens sm","6/28/2014"
"117",0,"gria","7","M","BL","1","4","Oriens sm","6/28/2014"
"118",1,"gria","8","N","BL","1","3","Oriens big","6/28/2014"
"119",0,"gria","8","N","BL","1","3","Oriens big","6/28/2014"
"120",2,"gria","8","N","BL","1","3","Oriens big","6/28/2014"
"121",8,"gria","9","Q","BL","2","2","Oriens big","6/30/2014"
"122",5,"gria","9","Q","BL","2","2","Oriens big","6/30/2014"
"123",4,"gria","9","Q","BL","2","2","Oriens big","6/30/2014"
"124",10,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"125",15,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"126",17,"gria","10","R","BL","2","3","CA1 upper","6/30/2014"
"127",7,"gria","11","S","BL","2","5","DG","6/30/2014"
